ts," 0.013057258965488289]""","[0.0, 0.0, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[0.0685846619817184, -0.02988727245178445, 0.002723501486365982]","[-0.6919957025292439, -0.0922842003530551, 0.020479027066448805]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.06789266627918916, -0.02988727245178445, 0.002723501486365982]","[-0.6919957025292439, -0.0922842003530551, 0.020479027066448805]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.06789266627918916, -0.029979644975956638, 0.002723501486365982]","[-0.68163834074976, -0.09237252417218858, 0.02059506697256767]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.06789266627918916, -0.029979644975956638, 0.0027440965533385496]","[-0.68163834074976, -0.09237252417218858, 0.02059506697256767]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0672110279384394, -0.029979644975956638, 0.0027440965533385496]","[-0.68163834074976, -0.09237252417218858, 0.02059506697256767]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0672110279384394, -0.03007206145659997, 0.0027440965533385496]","[-0.6717738037399085, -0.0924164806433321, 0.020433259328149923]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0672110279384394, -0.03007206145659997, 0.0027645298126666995]","[-0.6717738037399085, -0.0924164806433321, 0.020433259328149923]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0665392541346995, -0.03007206145659997, 0.0027645298126666995]","[-0.6717738037399085, -0.0924164806433321, 0.020433259328149923]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0665392541346995, -0.030164453531141912, 0.0027645298126666995]","[-0.6619277349770858, -0.09239207454194223, 0.020606900650245192]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0665392541346995, -0.030164453531141912, 0.0027851367133169447]","[-0.6619277349770858, -0.09239207454194223, 0.020606900650245192]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.06587732639972241, -0.030164453531141912, 0.0027851367133169447]","[-0.6619277349770858, -0.09239207454194223, 0.020606900650245192]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.06587732639972241, -0.030256766627822708, 0.0027851367133169447]","[-0.6521097861773018, -0.09231309668079543, 0.020771922458273986]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
